gene_id	ESN
ENSG00000020577	15437
ENSG00000020633	9927
ENSG00000020922	11288
ENSG00000021300	938
ENSG00000021355	17195
ENSG00000021461	13777
ENSG00000021488	8535
ENSG00000021574	6819
ENSG00000021645	10311
ENSG00000021762	8924
ENSG00000021776	8610
ENSG00000021826	10433
ENSG00000021852	16684
ENSG00000022277	11505
ENSG00000022355	9676
ENSG00000022556	17157
ENSG00000022567	3281
ENSG00000022840	3972
ENSG00000022976	3809
ENSG00000023041	6743
ENSG00000023171	13070
ENSG00000023228	12075
ENSG00000023287	8776
ENSG00000023318	8428
ENSG00000023330	131
ENSG00000023445	5388
ENSG00000023516	6097
ENSG00000023572	2189
ENSG00000023608	15326
ENSG00000023697	16188
ENSG00000023734	14437
ENSG00000023839	5802
ENSG00000023892	13415
ENSG00000023902	8609
ENSG00000023909	9550
ENSG00000024048	2687
ENSG00000024422	12079
ENSG00000024526	9834
ENSG00000024862	6951
ENSG00000025039	2543
ENSG00000025156	10626
ENSG00000025293	7236
ENSG00000025423	9783
ENSG00000025434	153
ENSG00000025772	2476
ENSG00000025796	6773
ENSG00000025800	1752
ENSG00000026025	5896
ENSG00000026036	8580
ENSG00000026103	14551
ENSG00000026297	5952
ENSG00000026508	11299
ENSG00000026559	13905
ENSG00000026652	13772
ENSG00000026751	3736
ENSG00000026950	6396
ENSG00000027001	12023
ENSG00000027075	11269
ENSG00000027644	4176
ENSG00000027697	17101
ENSG00000027847	3407
ENSG00000027869	3466
ENSG00000028116	8876
ENSG00000028137	4229
ENSG00000028203	14029
ENSG00000028277	2224
ENSG00000028310	7288
ENSG00000028528	1075
ENSG00000028839	16634
ENSG00000029153	10606
ENSG00000029363	9285
ENSG00000029364	4425
ENSG00000029534	4645
ENSG00000029559	13660
ENSG00000029639	14666
ENSG00000029725	12013
ENSG00000030066	190
ENSG00000030110	4428
ENSG00000030304	12777
ENSG00000030419	8777
ENSG00000030582	6197
ENSG00000031003	3721
ENSG00000031081	3511
ENSG00000031691	7408
ENSG00000031698	11834
ENSG00000031823	9646
ENSG00000032219	16144
ENSG00000032389	17277
ENSG00000032444	15123
ENSG00000032742	7362
ENSG00000033011	9298
ENSG00000033030	563
ENSG00000033050	17244
ENSG00000033100	17219
ENSG00000033122	6128
ENSG00000033170	834
ENSG00000033178	7098
ENSG00000033327	2059
ENSG00000033627	2193
ENSG00000033800	11169
ENSG00000033867	2933
ENSG00000034152	7212
ENSG00000034239	596
ENSG00000034510	15455
ENSG00000034533	120
ENSG00000034677	10974
ENSG00000034693	12869
ENSG00000034713	3919
ENSG00000034971	12503
ENSG00000035141	4937
ENSG00000035403	12940
ENSG00000035499	898
ENSG00000035664	1738
ENSG00000035681	15733
ENSG00000035687	5418
ENSG00000035720	5197
ENSG00000035862	14381
ENSG00000035928	9238
ENSG00000036054	14822
ENSG00000036257	4251
ENSG00000036448	13926
ENSG00000036530	6621
ENSG00000036549	4223
ENSG00000036565	15755
ENSG00000036672	7325
ENSG00000036828	11432
ENSG00000037042	3173
ENSG00000037241	5908
ENSG00000037280	5633
ENSG00000037474	12541
ENSG00000037637	3929
ENSG00000037749	10917
ENSG00000037757	15979
ENSG00000037897	10377
ENSG00000037965	7245
ENSG00000038002	16615
ENSG00000038210	9752
ENSG00000038219	6235
ENSG00000038274	12336
ENSG00000038295	16760
ENSG00000038358	5830
ENSG00000038382	16958
ENSG00000038427	5691
ENSG00000038532	17198
ENSG00000038945	13028
ENSG00000039068	10788
ENSG00000039123	10952
ENSG00000039139	10117
ENSG00000039319	14230
ENSG00000039523	14011
ENSG00000039537	8176
ENSG00000039560	15393
ENSG00000039600	8467
ENSG00000039650	1510
ENSG00000039987	5688
ENSG00000040199	17485
ENSG00000040275	16556
ENSG00000040341	2446
ENSG00000040487	8230
ENSG00000040531	1027
ENSG00000040633	9944
ENSG00000040731	10200
ENSG00000040933	109
ENSG00000041353	12977
ENSG00000041357	5795
ENSG00000041515	13651
ENSG00000041802	16373
ENSG00000041880	79
ENSG00000041982	16197
ENSG00000041988	10748
ENSG00000042062	15776
ENSG00000042088	4500
ENSG00000042286	14182
ENSG00000042304	6319
ENSG00000042317	952
ENSG00000042429	12593
ENSG00000042445	10617
ENSG00000042493	10503
ENSG00000042753	2832
ENSG00000042781	7816
ENSG00000042813	4890
ENSG00000042832	7390
ENSG00000042980	9768
ENSG00000043039	7986
ENSG00000043093	14130
ENSG00000043143	744
ENSG00000043355	2848
ENSG00000043462	17131
ENSG00000043514	1724
ENSG00000043591	5209
ENSG00000044012	1964
ENSG00000044090	3631
ENSG00000044115	4772
ENSG00000044459	13147
ENSG00000044524	2527
ENSG00000044574	1017
ENSG00000046604	9120
ENSG00000046889	12682
ENSG00000047056	8308
ENSG00000047188	15702
ENSG00000047249	2919
ENSG00000047315	13787
ENSG00000047346	5112
ENSG00000047365	7957
ENSG00000047410	15972
ENSG00000047457	11036
ENSG00000047578	2955
ENSG00000047579	11732
ENSG00000047617	15238
ENSG00000047621	16196
ENSG00000047662	6110
ENSG00000047849	337
ENSG00000047932	2449
ENSG00000047936	5031
ENSG00000048028	10658
ENSG00000048052	17482
ENSG00000048140	5011
ENSG00000048162	9723
ENSG00000048342	10545
ENSG00000048392	6296
ENSG00000048405	4682
ENSG00000048462	15813
ENSG00000048471	15804
ENSG00000048540	10420
ENSG00000048544	1359
ENSG00000048545	1245
ENSG00000048649	4319
ENSG00000048707	4780
ENSG00000048740	13270
ENSG00000048828	2394
ENSG00000048991	6096
ENSG00000049089	415
ENSG00000049130	6231
ENSG00000049167	1193
ENSG00000049192	2549
ENSG00000049239	16459
ENSG00000049245	11849
ENSG00000049246	10450
ENSG00000049247	9882
ENSG00000049249	8514
ENSG00000049283	5274
ENSG00000049323	15093
ENSG00000049449	4069
ENSG00000049540	8301
ENSG00000049541	4934
ENSG00000049618	8848
ENSG00000049656	12260
ENSG00000049759	9771
ENSG00000049860	627
ENSG00000049883	12738
ENSG00000050130	16339
ENSG00000050165	13617
ENSG00000050327	10203
ENSG00000050344	8348
ENSG00000050393	13726
ENSG00000050405	801
ENSG00000050426	9832
ENSG00000050438	12056
ENSG00000050555	7852
ENSG00000050628	6917
ENSG00000050730	10823
ENSG00000050748	7713
ENSG00000050767	15472
ENSG00000050820	4402
ENSG00000051009	9118
ENSG00000051108	6292
ENSG00000051128	7386
ENSG00000051180	9722
ENSG00000051341	56
ENSG00000051382	2798
ENSG00000051523	6015
ENSG00000051596	12245
ENSG00000051620	12407
ENSG00000051825	1980
ENSG00000052126	11145
ENSG00000052344	9020
ENSG00000052723	1784
ENSG00000052749	9895
ENSG00000052795	8529
ENSG00000052802	12879
ENSG00000052841	6941
ENSG00000052850	12199
ENSG00000053108	10047
ENSG00000053254	12495
ENSG00000053328	5964
ENSG00000053371	8340
ENSG00000053372	6972
ENSG00000053438	6659
ENSG00000053501	9204
ENSG00000053524	9755
ENSG00000053702	17111
ENSG00000053747	16487
ENSG00000053770	3604
ENSG00000053900	11884
ENSG00000053918	14586
ENSG00000054116	2660
ENSG00000054118	4023
ENSG00000054179	1045
ENSG00000054267	10424
ENSG00000054277	9012
ENSG00000054282	14169
ENSG00000054356	14204
ENSG00000054392	15254
ENSG00000054523	5374
ENSG00000054598	13834
ENSG00000054611	16617
ENSG00000054654	3164
ENSG00000054690	420
ENSG00000054793	13781
ENSG00000054796	17304
ENSG00000054803	9061
ENSG00000054938	2988
ENSG00000054965	345
ENSG00000054967	267
ENSG00000054983	12798
ENSG00000055044	6706
ENSG00000055070	7685
ENSG00000055118	17164
ENSG00000055130	8696
ENSG00000055147	9733
ENSG00000055163	15009
ENSG00000055208	4697
ENSG00000055211	4509
ENSG00000055332	11858
ENSG00000055483	13645
ENSG00000055609	9581
ENSG00000055732	15183
ENSG00000055813	8179
ENSG00000055917	11396
ENSG00000055950	4607
ENSG00000055955	3554
ENSG00000055957	3163
ENSG00000056050	271
ENSG00000056097	5078
ENSG00000056291	9794
ENSG00000056487	16319
ENSG00000056558	1984
ENSG00000056586	3535
ENSG00000056736	14746
ENSG00000056972	4655
ENSG00000057019	4408
ENSG00000057149	6368
ENSG00000057252	8832
ENSG00000057294	17077
ENSG00000057468	9129
ENSG00000057593	9100
ENSG00000057608	6196
ENSG00000057657	6757
ENSG00000057663	10354
ENSG00000057704	15742
ENSG00000057757	12761
ENSG00000057935	16539
ENSG00000058056	14504
ENSG00000058063	14533
ENSG00000058085	2431
ENSG00000058091	13251
ENSG00000058262	10407
ENSG00000058272	3691
ENSG00000058335	8331
ENSG00000058404	2499
ENSG00000058600	4850
ENSG00000058668	12594
ENSG00000058673	10449
ENSG00000058729	5004
ENSG00000058799	14082
ENSG00000058804	13743
ENSG00000058866	15140
ENSG00000059122	9001
ENSG00000059145	16161
ENSG00000059377	8788
ENSG00000059378	10715
ENSG00000059573	6920
ENSG00000059588	15983
ENSG00000059691	5833
ENSG00000059728	2740
ENSG00000059758	8414
ENSG00000059804	6483
ENSG00000059915	656
ENSG00000060069	2076
ENSG00000060138	8672
ENSG00000060140	9501
ENSG00000060237	11225
ENSG00000060339	1772
ENSG00000060491	15482
ENSG00000060558	8132
ENSG00000060566	9728
ENSG00000060642	3659
ENSG00000060656	2573
ENSG00000060688	2454
ENSG00000060709	13215
ENSG00000060718	15760
ENSG00000060749	220
ENSG00000060762	15417
ENSG00000060971	5648
ENSG00000060982	13011
ENSG00000061273	10953
ENSG00000061337	17049
ENSG00000061455	10585
ENSG00000061492	3058
ENSG00000061656	7765
ENSG00000061676	1397
ENSG00000061794	10394
ENSG00000061918	15838
ENSG00000061936	10887
ENSG00000061938	5202
ENSG00000061987	9185
ENSG00000062038	9991
ENSG00000062194	2441
ENSG00000062282	2057
ENSG00000062485	9908
ENSG00000062524	3709
ENSG00000062582	2200
ENSG00000062598	5287
ENSG00000062716	7045
ENSG00000062725	3
ENSG00000062822	4759
ENSG00000063015	407
ENSG00000063046	16341
ENSG00000063127	1184
ENSG00000063169	10966
ENSG00000063176	16527
ENSG00000063177	16350
ENSG00000063180	16639
ENSG00000063241	16990
ENSG00000063244	15728
ENSG00000063245	15666
ENSG00000063322	3424
ENSG00000063515	2882
ENSG00000063660	11949
ENSG00000063761	5182
ENSG00000063854	17474
ENSG00000063978	10061
ENSG00000064012	2398
ENSG00000064042	14870
ENSG00000064102	5366
ENSG00000064115	5581
ENSG00000064195	8263
ENSG00000064199	13885
ENSG00000064201	16082
ENSG00000064205	3705
ENSG00000064218	15372
ENSG00000064225	3011
ENSG00000064270	15164
ENSG00000064300	13888
ENSG00000064309	10784
ENSG00000064313	10286
ENSG00000064393	1000
ENSG00000064419	4221
ENSG00000064490	6324
ENSG00000064545	7016
ENSG00000064547	3925
ENSG00000064601	9152
ENSG00000064607	7228
ENSG00000064651	10370
ENSG00000064652	11672
ENSG00000064655	12832
ENSG00000064666	8365
ENSG00000064687	8324
ENSG00000064692	5385
ENSG00000064703	11150
ENSG00000064726	13578
ENSG00000064763	4148
ENSG00000064787	14497
ENSG00000064835	475
ENSG00000064886	5825
ENSG00000064932	7090
ENSG00000064933	1294
ENSG00000064961	10415
ENSG00000064989	7089
ENSG00000064995	4085
ENSG00000064999	3874
ENSG00000065000	6376
ENSG00000065029	7107
ENSG00000065054	16618
ENSG00000065057	16563
ENSG00000065060	2776
ENSG00000065135	15231
ENSG00000065150	15030
ENSG00000065154	11880
ENSG00000065183	2539
ENSG00000065243	4875
ENSG00000065268	7977
ENSG00000065308	9071
ENSG00000065320	14215
ENSG00000065325	13788
ENSG00000065328	16976
ENSG00000065357	15035
ENSG00000065361	12989
ENSG00000065371	12059
ENSG00000065413	1275
ENSG00000065427	4504
ENSG00000065457	4356
ENSG00000065485	9371
ENSG00000065491	14176
ENSG00000065518	71
ENSG00000065526	7126
ENSG00000065534	8705
ENSG00000065548	3377
ENSG00000065559	8304
ENSG00000065600	8440
ENSG00000065609	3227
ENSG00000065613	17138
ENSG00000065615	1990
ENSG00000065618	17078
ENSG00000065621	16961
ENSG00000065665	7812
ENSG00000065675	17143
ENSG00000065717	8579
ENSG00000065802	4723
ENSG00000065809	17014
ENSG00000065833	6026
ENSG00000065882	12438
ENSG00000065883	15517
ENSG00000065911	4118
ENSG00000065970	7524
ENSG00000065978	1700
ENSG00000065989	4717
ENSG00000066027	8457
ENSG00000066032	15214
ENSG00000066044	11550
ENSG00000066056	13467
ENSG00000066084	3194
ENSG00000066117	357
ENSG00000066135	12640
ENSG00000066136	1394
ENSG00000066185	1484
ENSG00000066248	1601
ENSG00000066279	14650
ENSG00000066294	4279
ENSG00000066322	13492
ENSG00000066336	157
ENSG00000066379	17240
ENSG00000066382	4640
ENSG00000066405	13921
ENSG00000066422	63
ENSG00000066427	10287
ENSG00000066455	16534
ENSG00000066468	9147
ENSG00000066557	7992
ENSG00000066583	8015
ENSG00000066629	4700
ENSG00000066651	4622
ENSG00000066654	6336
ENSG00000066697	12369
ENSG00000066735	4389
ENSG00000066739	8210
ENSG00000066777	200
ENSG00000066813	8458
ENSG00000066827	14878
ENSG00000066855	8084
ENSG00000066923	9173
ENSG00000066926	14155
ENSG00000066933	3856
ENSG00000067057	12496
ENSG00000067064	6996
ENSG00000067066	12948
ENSG00000067082	16265
ENSG00000067113	12500
ENSG00000067141	11424
ENSG00000067167	791
ENSG00000067182	13775
ENSG00000067191	2691
ENSG00000067208	1234
ENSG00000067225	1319
ENSG00000067248	9102
ENSG00000067334	9350
ENSG00000067365	15169
ENSG00000067369	6403
ENSG00000067533	11530
ENSG00000067560	622
ENSG00000067596	5142
ENSG00000067704	13140
ENSG00000067715	437
ENSG00000067798	8137
ENSG00000067836	6863
ENSG00000067900	6737
ENSG00000067955	2092
ENSG00000068001	1626
ENSG00000068024	10876
ENSG00000068028	1720
ENSG00000068078	5637
ENSG00000068079	3071
ENSG00000068097	297
ENSG00000068120	1997
ENSG00000068137	3362
ENSG00000068305	16484
ENSG00000068383	13907
ENSG00000068489	6962
ENSG00000068615	9665
ENSG00000068650	11289
ENSG00000068654	5416
ENSG00000068697	10647
ENSG00000068724	13480
ENSG00000068745	1425
ENSG00000068781	11898
ENSG00000068784	16240
ENSG00000068796	6947
ENSG00000068831	13258
ENSG00000068878	16073
ENSG00000068885	3990
ENSG00000068903	565
ENSG00000068912	8719
ENSG00000068971	9273
ENSG00000068976	12839
ENSG00000069011	2064
ENSG00000069018	9704
ENSG00000069020	12934
ENSG00000069122	15582
ENSG00000069188	10701
ENSG00000069206	10816
ENSG00000069248	6193
ENSG00000069275	16825
ENSG00000069345	6833
ENSG00000069399	4262
ENSG00000069424	7827
ENSG00000069431	9451
ENSG00000069482	5923
ENSG00000069493	17257
ENSG00000069667	14279
ENSG00000069696	15427
ENSG00000069702	13419
ENSG00000069712	7187
ENSG00000069812	6669
ENSG00000069849	2416
ENSG00000069869	6010
ENSG00000069943	2100
ENSG00000069956	3202
ENSG00000069966	4512
ENSG00000069974	1811
ENSG00000069998	5883
ENSG00000070010	5172
ENSG00000070018	2576
ENSG00000070019	10211
ENSG00000070031	16270
ENSG00000070047	17142
ENSG00000070061	16356
ENSG00000070081	13979
ENSG00000070087	5000
ENSG00000070159	14407
ENSG00000070182	15696
ENSG00000070190	2219
ENSG00000070193	3395
ENSG00000070214	1658
ENSG00000070269	13374
ENSG00000070366	11804
ENSG00000070367	3894
ENSG00000070371	2847
ENSG00000070388	6414
ENSG00000070404	6504
ENSG00000070413	2079
ENSG00000070423	6505
ENSG00000070444	11390
ENSG00000070476	10097
ENSG00000070495	16208
ENSG00000070501	9095
ENSG00000070526	17085
ENSG00000070540	13165
ENSG00000070601	7489
ENSG00000070610	11777
ENSG00000070614	12239
ENSG00000070669	14779
ENSG00000070718	12315
ENSG00000070729	15074
ENSG00000070731	17121
ENSG00000070748	12693
ENSG00000070756	10182
ENSG00000070759	4410
ENSG00000070761	15236
ENSG00000070770	16095
ENSG00000070778	872
ENSG00000070785	14135
ENSG00000070808	15573
ENSG00000070814	11104
ENSG00000070831	16312
ENSG00000070882	10997
ENSG00000070886	16695
ENSG00000070915	5612
ENSG00000070950	13077
ENSG00000070961	3031
ENSG00000070985	16886
ENSG00000071051	16934
ENSG00000071054	13650
ENSG00000071073	101
ENSG00000071082	14205
ENSG00000071127	11295
ENSG00000071189	16043
ENSG00000071203	3861
ENSG00000071205	7944
ENSG00000071242	7797
ENSG00000071243	11122
ENSG00000071246	15170
ENSG00000071282	16053
ENSG00000071462	2788
ENSG00000071537	4475
ENSG00000071539	7414
ENSG00000071564	8233
ENSG00000071575	4942
ENSG00000071626	7406
ENSG00000071655	8051
ENSG00000071677	6888
ENSG00000071794	8760
ENSG00000071894	14549
ENSG00000071909	12132
ENSG00000071967	4123
ENSG00000071991	15716
ENSG00000072041	2677
ENSG00000072042	619
ENSG00000072062	12888
ENSG00000072071	13485
ENSG00000072080	14245
ENSG00000072110	14075
ENSG00000072121	544
ENSG00000072163	8157
ENSG00000072182	12171
ENSG00000072195	10604
ENSG00000072201	1362
ENSG00000072210	1001
ENSG00000072274	8379
ENSG00000072310	2370
ENSG00000072364	4858
ENSG00000072401	318
ENSG00000072415	250
ENSG00000072422	10487
ENSG00000072518	4113
ENSG00000072571	13111
ENSG00000072657	2235
ENSG00000072682	6472
ENSG00000072694	7176
ENSG00000072736	6207
ENSG00000072756	15968
ENSG00000072778	10633
ENSG00000072786	10771
ENSG00000072803	11158
ENSG00000072818	6714
ENSG00000072832	16015
ENSG00000072840	16439
ENSG00000072849	12849
ENSG00000072858	3335
ENSG00000072864	4985
ENSG00000072952	13500
ENSG00000072954	4489
ENSG00000072958	8823
ENSG00000073008	3392
ENSG00000073050	5115
ENSG00000073060	12960
ENSG00000073067	12037
ENSG00000073111	13367
ENSG00000073146	6612
ENSG00000073150	7305
ENSG00000073169	6858
ENSG00000073282	14298
ENSG00000073331	8775
ENSG00000073350	10180
ENSG00000073417	13223
ENSG00000073536	5060
ENSG00000073584	13830
ENSG00000073598	5486
ENSG00000073605	8260
ENSG00000073670	8692
ENSG00000073711	13388
ENSG00000073712	1093
ENSG00000073734	16905
ENSG00000073737	16495
ENSG00000073754	17207
ENSG00000073756	10204
ENSG00000073792	15491
ENSG00000073803	9497
ENSG00000073849	14639
ENSG00000073861	2363
ENSG00000073910	2511
ENSG00000073921	14959
ENSG00000074047	11216
ENSG00000074054	5920
ENSG00000074071	17463
ENSG00000074181	16268
ENSG00000074201	4728
ENSG00000074211	16379
ENSG00000074219	1222
ENSG00000074266	14544
ENSG00000074276	5137
ENSG00000074317	5456
ENSG00000074319	4114
ENSG00000074356	264
ENSG00000074370	355
ENSG00000074410	12282
ENSG00000074416	9172
ENSG00000074527	15575
ENSG00000074582	1651
ENSG00000074590	9225
ENSG00000074603	1102
ENSG00000074621	1326
ENSG00000074657	11086
ENSG00000074660	8950
ENSG00000074695	14094
ENSG00000074696	1205
ENSG00000074706	17269
ENSG00000074755	547
ENSG00000074771	14270
ENSG00000074800	14649
ENSG00000074803	8541
ENSG00000074842	8387
ENSG00000074855	9985
ENSG00000074935	7417
ENSG00000074964	15754
ENSG00000074966	14979
ENSG00000075035	6573
ENSG00000075043	10919
ENSG00000075073	11821
ENSG00000075089	6262
ENSG00000075131	4488
